,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol
1,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel
2,Hyundai Grand i10,Hyundai,2014,325000,28000,Petrol
3,Ford EcoSport Titanium,Ford,2014,575000,36000,Diesel
4,Ford Figo,Ford,2012,175000,41000,Diesel
5,Hyundai Eon,Hyundai,2013,190000,25000,Petrol
6,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol
7,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol
8,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol
9,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol
10,Mahindra Scorpio SLE,Mahindra,2015,320000,48660,Diesel
11,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol
12,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel
13,Audi Q7,Audi,2014,500000,16934,Diesel
14,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel
15,Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol
16,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel
17,Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel
18,Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol
19,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
20,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
21,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
22,Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol
23,Maruti Suzuki Vitara,Maruti,2016,290000,15975,Diesel
24,Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol
25,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
26,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel
27,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel
28,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
29,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
30,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
31,Toyota Innova 2.0,Toyota,2012,650000,82000,Diesel
32,Renault Lodgy 85,Renault,2018,689999,20000,Diesel
33,Skoda Yeti Ambition,Skoda,2012,448000,68000,Diesel
34,Maruti Suzuki Baleno,Maruti,2017,549000,32000,Diesel
35,Renault Duster 110,Renault,2012,501000,38000,Diesel
36,Renault Duster 85,Renault,2013,489999,27000,Diesel
37,Honda City 1.5,Honda,2011,280000,33000,Petrol
38,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol
39,Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel
40,Honda Amaze,Honda,2013,284999,46000,Diesel
41,Honda Amaze 1.5,Honda,2015,345000,36000,Diesel
42,Honda City,Honda,2015,499999,55000,Petrol
43,Datsun Redi GO,Datsun,2017,235000,16000,Petrol
44,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
45,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
46,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel
47,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel
48,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
49,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
50,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
51,Mahindra Scorpio S10,Mahindra,2015,395000,35000,Diesel
52,Maruti Suzuki Swift,Maruti,2017,220000,30874,Petrol
53,Honda City ZX,Honda,2017,170000,15000,Diesel
54,Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol
55,Ford Figo,Ford,2012,175000,41000,Diesel
56,Hyundai Eon,Hyundai,2013,190000,25000,Petrol
57,Tata Indigo eCS,Tata,2017,200000,130000,Diesel
58,Tata Indigo eCS,Tata,2017,200000,130000,Diesel
59,Mahindra Scorpio SLE,Mahindra,2012,570000,19000,Diesel
60,Volkswagen Polo Highline,Volkswagen,2014,315000,60000,Petrol
61,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol
62,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol
63,Chevrolet Spark LS,Chevrolet,2010,110000,41000,Petrol
64,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
65,Honda City,Honda,2015,448999,54000,Petrol
66,Datsun Redi GO,Datsun,2017,235000,16000,Petrol
67,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
68,Honda Amaze,Honda,2015,344999,22000,Petrol
69,Honda Amaze,Honda,2015,344999,22000,Petrol
70,Renault Duster,Renault,2014,449999,50000,Diesel
71,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel
72,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
73,Ford EcoSport,Ford,2017,489999,39000,Petrol
74,Honda Brio,Honda,2012,224999,30000,Petrol
75,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol
76,Toyota Corolla Altis,Toyota,2010,351000,38000,Diesel
77,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol
